"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2015","2.839","2.691","2.870","2.641","560.46K","3.84%"
"Feb 22, 2015","2.734","2.963","3.039","2.684","417.23K","-7.35%"
"Feb 15, 2015","2.951","2.818","2.984","2.697","556.55K","5.24%"
"Feb 08, 2015","2.804","2.659","2.883","2.571","917.74K","8.72%"
"Feb 01, 2015","2.579","2.664","2.783","2.567","597.79K","-4.16%"
"Jan 25, 2015","2.691","2.897","3.005","2.637","413.86K","-9.88%"
"Jan 18, 2015","2.986","3.045","3.048","2.766","602.22K","-4.51%"
"Jan 11, 2015","3.127","2.917","3.352","2.783","873.01K","6.14%"
"Jan 04, 2015","2.946","3.076","3.176","2.811","643.08K","-1.90%"
"Dec 28, 2014","3.003","3.053","3.207","2.805","308.02K","-0.13%"
"Dec 21, 2014","3.007","3.350","3.351","2.973","333.52K","-13.19%"
"Dec 14, 2014","3.464","3.930","3.936","3.444","585.05K","-8.72%"
"Dec 07, 2014","3.795","3.777","3.826","3.585","739.70K","-0.18%"
"Nov 30, 2014","3.802","3.975","4.041","3.638","763.66K","-7.00%"
"Nov 23, 2014","4.088","4.047","4.529","4.006","318.76K","-4.17%"
"Nov 16, 2014","4.266","4.148","4.532","4.113","884.29K","6.12%"
"Nov 09, 2014","4.020","4.509","4.544","3.931","813.03K","-8.88%"
"Nov 02, 2014","4.412","4.007","4.494","3.989","994.01K","13.92%"
"Oct 26, 2014","3.873","3.620","3.955","3.541","377.93K","6.90%"
"Oct 19, 2014","3.623","3.721","3.745","3.558","477.98K","-3.80%"
"Oct 12, 2014","3.766","3.836","3.955","3.715","533.04K","-2.41%"
"Oct 05, 2014","3.859","4.000","4.000","3.815","645.08K","-4.46%"
"Sep 28, 2014","4.039","4.032","4.184","3.908","604.64K","1.38%"
"Sep 21, 2014","3.984","3.840","3.996","3.796","309.01K","3.83%"
"Sep 14, 2014","3.837","3.841","4.040","3.834","569.11K","-0.52%"
"Sep 07, 2014","3.857","3.783","4.016","3.761","612.96K","1.69%"
"Aug 31, 2014","3.793","4.048","4.078","3.781","451.51K","-6.69%"
"Aug 24, 2014","4.065","3.869","4.101","3.843","307.18K","5.86%"
"Aug 17, 2014","3.840","3.746","3.955","3.727","460.17K","1.69%"
"Aug 10, 2014","3.776","3.988","4.020","3.763","619.01K","-4.69%"
"Aug 03, 2014","3.962","3.786","3.981","3.761","498.34K","4.32%"
"Jul 27, 2014","3.798","3.736","3.890","3.723","353.13K","0.45%"
"Jul 20, 2014","3.781","3.883","3.893","3.744","367.27K","-4.30%"
"Jul 13, 2014","3.951","4.145","4.173","3.934","438.67K","-4.70%"
"Jul 06, 2014","4.146","4.398","4.356","4.106","507.60K","-5.90%"
"Jun 29, 2014","4.406","4.419","4.493","4.329","336.83K","-0.07%"
"Jun 22, 2014","4.409","4.522","4.597","4.350","253.63K","-2.69%"
"Jun 15, 2014","4.531","4.757","4.886","4.516","508.34K","-4.39%"
"Jun 08, 2014","4.739","4.714","4.793","4.504","736.76K","0.62%"
"Jun 01, 2014","4.710","4.551","4.736","4.522","502.56K","3.70%"
"May 25, 2014","4.542","4.406","4.665","4.360","299.95K","3.11%"
"May 18, 2014","4.405","4.414","4.575","4.349","422.62K","-0.18%"
"May 11, 2014","4.413","4.535","4.549","4.289","489.11K","-2.60%"
"May 04, 2014","4.531","4.775","4.827","4.498","515.72K","-3.06%"
"Apr 27, 2014","4.674","4.642","4.852","4.636","358.64K","0.58%"
"Apr 20, 2014","4.647","4.756","4.805","4.632","355.95K","-1.98%"
"Apr 13, 2014","4.741","4.620","4.746","4.484","413.28K","2.62%"
"Apr 06, 2014","4.620","4.443","4.703","4.430","690.88K","4.08%"
"Mar 30, 2014","4.439","4.482","4.487","4.221","502.70K","-1.03%"
"Mar 23, 2014","4.485","4.312","4.615","4.262","255.18K","3.99%"
"Mar 16, 2014","4.313","4.504","4.587","4.286","409.45K","-2.53%"
"Mar 09, 2014","4.425","4.623","4.733","4.341","538.10K","-4.18%"
"Mar 02, 2014","4.618","4.690","4.736","4.463","615.98K","0.20%"
"Feb 23, 2014","4.609","6.300","6.493","4.441","460.53K","-24.87%"
"Feb 16, 2014","6.135","5.384","6.400","5.371","742.90K","17.66%"
"Feb 09, 2014","5.214","4.660","5.389","4.563","1.01M","9.19%"
"Feb 02, 2014","4.775","4.850","5.737","4.739","972.94K","-3.40%"
"Jan 26, 2014","4.943","5.153","5.725","4.721","711.73K","-4.61%"
"Jan 19, 2014","5.182","4.236","5.246","4.203","796.26K","19.79%"
"Jan 12, 2014","4.326","4.120","4.495","4.118","876.67K","6.74%"
"Jan 05, 2014","4.053","4.313","4.430","3.953","731.77K","-5.83%"
"Dec 29, 2013","4.304","4.403","4.472","4.206","426.82K","-2.34%"
"Dec 22, 2013","4.407","4.490","4.532","4.338","174.68K","-0.25%"
"Dec 15, 2013","4.418","4.275","4.492","4.194","754.85K","1.54%"
"Dec 08, 2013","4.351","4.148","4.443","4.139","1.04M","5.76%"
"Dec 01, 2013","4.114","3.911","4.199","3.897","830.81K","4.05%"
"Nov 24, 2013","3.954","3.814","3.962","3.741","284.08K","4.94%"
"Nov 17, 2013","3.768","3.681","3.787","3.545","525.92K","2.95%"
"Nov 10, 2013","3.660","3.586","3.667","3.491","550.02K","2.84%"
"Nov 03, 2013","3.559","3.475","3.622","3.379","602.60K","1.31%"
"Oct 27, 2013","3.513","3.678","3.681","3.480","400.04K","-5.23%"
"Oct 20, 2013","3.707","3.795","3.838","3.545","531.80K","-1.51%"
"Oct 13, 2013","3.764","3.815","3.869","3.685","616.47K","-0.32%"
"Oct 06, 2013","3.776","3.530","3.795","3.519","863.20K","7.70%"
"Sep 29, 2013","3.506","3.581","3.653","3.482","556.66K","-2.31%"
"Sep 22, 2013","3.589","3.681","3.681","3.402","305.98K","-2.66%"
"Sep 15, 2013","3.687","3.687","3.820","3.625","583.46K","0.27%"
"Sep 08, 2013","3.677","3.534","3.689","3.525","583.32K","4.16%"
"Sep 01, 2013","3.530","3.601","3.719","3.517","471.05K","-1.42%"
"Aug 25, 2013","3.581","3.511","3.655","3.451","374.40K","2.75%"
"Aug 18, 2013","3.485","3.392","3.562","3.385","536.47K","3.47%"
"Aug 11, 2013","3.368","3.260","3.434","3.244","762.22K","4.27%"
"Aug 04, 2013","3.230","3.326","3.361","3.129","716.56K","-3.50%"
"Jul 28, 2013","3.347","3.515","3.520","3.330","415.48K","-5.85%"
"Jul 21, 2013","3.555","3.750","3.780","3.548","474.31K","-6.18%"
"Jul 14, 2013","3.789","3.650","3.835","3.546","599.36K","3.98%"
"Jul 07, 2013","3.644","3.626","3.787","3.574","547.17K","0.75%"
"Jun 30, 2013","3.617","3.547","3.700","3.531","353.38K","1.46%"
"Jun 23, 2013","3.565","3.790","3.822","3.526","448.10K","-5.46%"
"Jun 16, 2013","3.771","3.738","3.983","3.738","651.15K","1.02%"
"Jun 09, 2013","3.733","3.848","3.868","3.710","757.17K","-2.48%"
"Jun 02, 2013","3.828","3.963","4.040","3.814","589.54K","-3.92%"
"May 26, 2013","3.984","4.223","4.308","3.981","346.81K","-5.97%"
"May 19, 2013","4.237","4.089","4.295","4.063","518.82K","4.49%"
"May 12, 2013","4.055","3.897","4.096","3.886","612.51K","3.71%"
"May 05, 2013","3.910","4.012","4.056","3.883","577.65K","-3.24%"
"Apr 28, 2013","4.041","4.233","4.444","3.977","795.72K","-2.67%"
"Apr 21, 2013","4.152","4.390","4.397","4.062","430.15K","-5.81%"
"Apr 14, 2013","4.408","4.227","4.429","4.084","771.99K","4.41%"
"Apr 07, 2013","4.222","4.163","4.264","4.004","1.04M","2.35%"
"Mar 31, 2013","4.125","3.969","4.146","3.861","946.87K","2.51%"
"Mar 24, 2013","4.024","3.943","4.121","3.860","460.79K","2.47%"
"Mar 17, 2013","3.927","3.907","4.025","3.858","727.44K","1.42%"
"Mar 10, 2013","3.872","3.636","3.924","3.590","763.29K","6.70%"
"Mar 03, 2013","3.629","3.469","3.635","3.408","683.31K","5.01%"
"Feb 24, 2013","3.456","3.320","3.554","3.320","537.95K","5.01%"
"Feb 17, 2013","3.291","3.166","3.337","3.135","503.44K","4.38%"
"Feb 10, 2013","3.153","3.260","3.323","3.125","863.98K","-3.64%"
"Feb 03, 2013","3.272","3.313","3.459","3.256","691.75K","-0.88%"
"Jan 27, 2013","3.301","3.392","3.396","3.207","538.14K","-4.15%"
"Jan 20, 2013","3.444","3.572","3.645","3.411","502.97K","-3.42%"
"Jan 13, 2013","3.566","3.379","3.579","3.328","752.46K","7.18%"
"Jan 06, 2013","3.327","3.277","3.352","3.087","623.25K","1.22%"
"Dec 30, 2012","3.287","3.455","3.481","3.050","399.50K","-5.25%"
"Dec 23, 2012","3.469","3.461","3.487","3.300","151.17K","0.52%"
"Dec 16, 2012","3.451","3.299","3.508","3.277","616.85K","4.13%"
"Dec 09, 2012","3.314","3.519","3.520","3.261","934.12K","-6.67%"
"Dec 02, 2012","3.551","3.553","3.748","3.507","734.81K","-0.28%"
"Nov 25, 2012","3.561","3.864","3.868","3.546","488.04K","-8.72%"
"Nov 18, 2012","3.901","3.798","3.933","3.710","397.93K","2.93%"
"Nov 11, 2012","3.790","3.496","3.830","3.470","674.14K","8.19%"
"Nov 04, 2012","3.503","3.533","3.620","3.482","500.76K","-1.43%"
"Oct 28, 2012","3.554","3.360","3.820","3.360","430.61K","4.53%"
"Oct 21, 2012","3.400","3.617","3.648","3.355","592.36K","-6.00%"
"Oct 14, 2012","3.617","3.593","3.647","3.398","825.44K","0.17%"
"Oct 07, 2012","3.611","3.380","3.638","3.327","992.94K","6.33%"
"Sep 30, 2012","3.396","3.325","3.546","3.325","942.48K","2.29%"
"Sep 23, 2012","3.320","2.900","3.330","2.814","568.59K","15.08%"
"Sep 16, 2012","2.885","2.929","2.983","2.737","748.86K","-1.97%"
"Sep 09, 2012","2.943","2.659","3.070","2.647","938.00K","9.73%"
"Sep 02, 2012","2.682","2.806","2.888","2.666","550.43K","-4.18%"
"Aug 26, 2012","2.799","2.768","2.808","2.575","453.92K","3.59%"
"Aug 19, 2012","2.702","2.715","2.877","2.682","714.89K","-0.63%"
"Aug 12, 2012","2.719","2.770","2.848","2.685","709.33K","-1.84%"
